Pclass,Age,Sex,SibSp,Parch,Embarked,Survived
3rd,34.5,Male,0,0,Q,No
3rd,47.0,Female,1,0,S,No
2nd,62.0,Male,0,0,Q,No
3rd,27.0,Male,0,0,S,No
3rd,22.0,Female,1,1,S,Yes
3rd,14.0,Male,0,0,S,No
3rd,30.0,Female,0,0,Q,Yes
2nd,26.0,Male,1,1,S,No
3rd,18.0,Female,0,0,C,Yes
3rd,21.0,Male,2,0,S,No
3rd,30.0,Male,0,0,S,No
1st,46.0,Male,0,0,S,No
1st,23.0,Female,1,0,S,Yes
2nd,63.0,Male,1,0,S,No
1st,47.0,Female,1,0,S,Yes
2nd,24.0,Female,1,0,C,Yes
2nd,35.0,Male,0,0,Q,No
3rd,21.0,Male,0,0,C,No
3rd,27.0,Female,1,0,S,Yes
3rd,45.0,Female,0,0,C,Yes
1st,55.0,Male,1,0,C,No
3rd,9.0,Male,0,1,S,No
1st,30.0,Female,0,0,S,Yes
1st,21.0,Male,0,1,C,No
1st,48.0,Female,1,3,C,Yes
3rd,50.0,Male,1,0,S,No
1st,22.0,Female,0,1,C,Yes
3rd,22.5,Male,0,0,C,No
1st,41.0,Male,0,0,S,No
3rd,30.0,Male,2,0,C,No
2nd,50.0,Male,1,0,S,No
2nd,24.0,Male,2,0,S,No
3rd,33.0,Female,1,2,S,No
3rd,30.0,Female,1,2,S,No
1st,30.0,Male,1,0,C,No
3rd,18.5,Male,0,0,C,No
3rd,30.0,Female,0,0,S,Yes
3rd,21.0,Female,0,0,S,Yes
3rd,25.0,Male,0,0,S,No
3rd,30.0,Male,0,0,S,No
3rd,39.0,Male,0,1,C,No
1st,30.0,Male,0,0,S,No
3rd,41.0,Male,0,0,S,No
2nd,30.0,Female,0,0,S,Yes
1st,45.0,Female,1,0,S,Yes
3rd,25.0,Male,0,0,S,No
1st,45.0,Male,0,0,C,No
3rd,30.0,Male,0,0,Q,No
1st,60.0,Female,0,0,C,Yes
3rd,36.0,Female,0,2,S,No
1st,24.0,Male,1,0,S,No
2nd,27.0,Male,0,0,C,No
2nd,20.0,Female,2,1,S,Yes
1st,28.0,Female,3,2,S,Yes
2nd,30.0,Male,0,0,C,No
3rd,10.0,Male,4,1,Q,No
3rd,35.0,Male,0,0,S,No
3rd,25.0,Male,0,0,S,No
3rd,30.0,Male,1,0,S,No
1st,36.0,Female,0,0,C,Yes
3rd,17.0,Male,0,0,S,No
2nd,32.0,Male,0,0,S,No
3rd,18.0,Male,0,0,S,No
3rd,22.0,Female,0,0,Q,Yes
1st,13.0,Male,2,2,C,Yes
2nd,30.0,Female,0,0,S,Yes
3rd,18.0,Female,0,0,Q,Yes
1st,47.0,Male,0,0,S,No
1st,31.0,Male,0,0,C,No
1st,60.0,Female,1,4,S,Yes
3rd,24.0,Female,0,0,Q,Yes
3rd,21.0,Male,0,0,S,No
3rd,29.0,Female,0,0,S,Yes
1st,28.5,Male,0,0,C,No
1st,35.0,Female,0,0,C,Yes
1st,32.5,Male,0,0,C,No
3rd,30.0,Male,0,0,S,No
1st,55.0,Female,2,0,S,Yes
2nd,30.0,Male,0,0,S,No
3rd,24.0,Female,0,0,Q,Yes
3rd,6.0,Male,1,1,C,Yes
1st,67.0,Male,1,0,S,No
1st,49.0,Male,0,0,S,No
3rd,30.0,Male,0,0,S,No
2nd,30.0,Male,0,0,Q,No
3rd,30.0,Male,1,0,C,No
3rd,27.0,Female,0,0,Q,Yes
3rd,18.0,Female,0,0,S,Yes
3rd,30.0,Female,0,0,Q,Yes
2nd,2.0,Male,1,1,S,Yes
3rd,22.0,Female,1,0,S,Yes
3rd,30.0,Male,0,0,S,No
1st,27.0,Female,1,2,S,Yes
3rd,30.0,Male,0,0,S,No
1st,25.0,Male,0,0,C,No
3rd,25.0,Male,0,0,S,No
1st,76.0,Female,1,0,S,Yes
3rd,29.0,Male,0,0,S,No
3rd,20.0,Female,0,0,S,Yes
3rd,33.0,Male,0,0,S,No
1st,43.0,Female,1,0,C,Yes
2nd,27.0,Male,1,0,S,No
3rd,30.0,Male,0,0,Q,No
3rd,26.0,Male,0,0,S,No
3rd,16.0,Female,1,1,C,Yes
3rd,28.0,Male,0,0,S,No
3rd,21.0,Male,0,0,Q,No
3rd,30.0,Male,0,0,Q,No
3rd,30.0,Male,0,0,S,No
2nd,18.5,Male,0,0,S,No
2nd,41.0,Male,0,0,C,No
3rd,30.0,Female,0,0,Q,Yes
1st,36.0,Female,0,0,C,Yes
3rd,18.5,Female,0,0,Q,Yes
1st,63.0,Female,1,0,S,Yes
3rd,18.0,Male,1,0,C,No
3rd,30.0,Male,0,0,C,No
3rd,1.0,Female,1,1,S,Yes
1st,36.0,Male,0,0,C,No
2nd,29.0,Female,1,0,S,Yes
2nd,12.0,Female,0,0,S,Yes
3rd,30.0,Male,1,0,Q,No
1st,35.0,Female,1,0,C,Yes
3rd,28.0,Male,0,0,S,No
3rd,30.0,Male,0,0,Q,No
